고르디타	🫓	플랫브레드
고리	🪝	갈고리
고리	➰	고리
고리가있는행성	🪐	고리가 있는 행성
고리점	。	고리점
고릴라	🦍	고릴라
고마워	🙏	모은 손
고마워	💐	꽃다발
고마워	🫂	포옹하는 사람
고민이많은	😧	괴로워하는 얼굴
고소하다는웃음짓는고양이	😼	썩소 짓는 고양이
고속	🚄	고속열차
고속	🚅	고속철
고속도로	🛣	고속도로
고속상승버튼	⏫	빨리 올리기 버튼
고속열차	🚄	고속열차
고속철	🚅	고속철
고수머리	🦱	곱슬머리
고스톱	🎴	화투
고스트	👻	유령
고슴도치	🦔	고슴도치
고압	⚡	고압 주의
고압경고	⚡	고압 주의
고압주의	⚡	고압 주의
고양이	🐱	고양이 얼굴
고양이	🐈	고양이
고양이	😺	활짝 웃는 고양이 얼굴
고양이	😸	미소 짓는 눈으로 활짝 웃는 고양이 얼굴
고양이	😹	기쁨의 눈물을 흘리는 고양이 얼굴
고양이	😻	하트 눈 고양이 얼굴
고양이	😼	썩소 짓는 고양이
고양이	😽	키스하는 고양이 얼굴
고양이	🙀	절규하는 고양이 얼굴
고양이	😿	울고 있는 고양이 얼굴
고양이	😾	뾰로통한 고양이 얼굴
고양이	🐈‍⬛	검은 고양이
고양이같은	🐈‍⬛	검은 고양이
고양이얼굴	🐱	고양이 얼굴
고전	🏛	고전 양식의 건축물
고전빌딩	🏛	고전 양식의 건축물
고전양식의건축물	🏛	고전 양식의 건축물
고정용핀	🧷	옷핀
고집불통	🫏	당나귀
고추	🌶	홍고추
고추	🫑	피망
고통	🥲	눈물 흘리며 웃는 얼굴
곡괭이	⛏	곡괭이
곡괭이	⚒	망치와 곡괭이
곡선	🪝	갈고리
곡식	🌾	벼
곡예	🤸	옆돌기하는 사람
곡절부호	^	곡절 부호
곤돌라	🚠	산악 케이블카
곤돌라	🚡	케이블카
곤란	💦	땀
곤충	🦋	나비
곤충	🐛	송충이
곤충	🐜	개미
곤충	🐝	꿀벌
곤충	🪲	딱정벌레
곤충	🦗	귀뚜라미
곤충	🪳	바퀴벌레
곤충	🕷	거미
곧	🔜	곧
곧진행된다는신호	🔜	곧
곧진행된다는표시	🔜	곧
곧진행된다는화살표	🔜	곧
골	🥍	라크로스
골	🥅	골대
골대	🥅	골대
골드	🥇	금메달
골드	🪙	동전
골뱅이표	@	앳 기호
골치아파하는남자	🤦‍♂	골치 아파하는 남자
골치아파하는사람	🤦	골치 아파하는 사람
골치아파하는여자	🤦‍♀	골치 아파하는 여자
골치아픔	💆	마사지 받는 사람
골퍼	🏌	골프치는 사람
골퍼	🏌‍♂	골프치는 남자
골프	🏌	골프치는 사람
골프	🏌‍♂	골프치는 남자
골프	🏌‍♀	골프치는 여자
골프	⛳	골프
골프	🚩	세모 깃발
골프선수	🏌	골프치는 사람
골프선수	🏌‍♂	골프치는 남자
골프선수	🏌‍♀	골프치는 여자
골프연습장	🏌	골프치는 사람
골프연습장	🏌‍♂	골프치는 남자
골프치는남자	🏌‍♂	골프치는 남자
골프치는사람	🏌	골프치는 사람
골프치는여자	🏌‍♀	골프치는 여자
골프티	🏌	골프치는 사람
골프티	🏌‍♂	골프치는 남자
곰	🐻	곰 얼굴
곰	🐻‍❄	북극곰
곰	🍯	꿀
곰	🧸	테디 베어
곰곰히	🤔	생각하는 얼굴
곰돌이	🐻	곰 얼굴
곰발바닥	🐾	곰발바닥
곰발자국	🐾	곰발바닥
곰얼굴	🐻	곰 얼굴
곰인형	🧸	테디 베어
곱셈	×	곱셈 기호
곱셈	✖	곱하기
곱셈	❌	엑스 표시
곱셈	❎	엑스 표시 버튼
곱셈기호	×	곱셈 기호
곱셈기호	✖	곱하기
곱슬	➰	고리
곱슬곱슬한	➿	두 개의 고리
곱슬머리	🦱	곱슬머리
곱슬머리	🧑‍🦱	사람: 곱슬머리
곱슬머리	👨‍🦱	남자: 곱슬머리
곱슬머리	👩‍🦱	여자: 곱슬머리
곱하기	×	곱셈 기호
곱하기	✖	곱하기
곱하기	❌	엑스 표시
곱하기	❎	엑스 표시 버튼
공	🏌	골프치는 사람
공	🏌‍♂	골프치는 남자
공	🏌‍♀	골프치는 여자
공	⛹	공을 갖고 있는 사람
공	⛹‍♂	공 가진 남자
공	⛹‍♀	공 가진 여자
공	🤾‍♀	핸드볼하는 여자
공	🎊	박 터트리기
공	⚽	축구공
공	⚾	야구공
공	🥎	소프트볼
공	🏀	농구
공	🏐	배구공
공	🏉	럭비공
공	🎾	테니스
공	🎳	볼링
공	🏏	크리켓
공	🏑	필드 하키
공	🥍	라크로스
공	🏓	탁구
공	🎱	당구
공	🧶	실뭉치
공	🈳	빌 공
공	0⃣	키 캡: 0
공가진남자	⛹‍♂	공 가진 남자
공가진여자	⛹‍♀	공 가진 여자
공구	🧰	공구통
공구통	🧰	공구통
공구함	🧰	공구통
공놀이	🤾	핸드볼하는 사람
공룡	🦕	초식 공룡
공룡	🦖	티라노사우루스
공부	🏫	학교
공부	📚	책 여러 권
공부벌레	🤓	모범생 얼굴
공사	🏗	건물 공사
공사	🚧	공사 중
공사	🚩	세모 깃발
공사중	🚧	공사 중
공사중표시	🚧	공사 중
공상에잠긴얼굴	😶‍🌫	공상에 잠긴 얼굴
공업	🧑‍🏭	공장 직원
공업	👨‍🏭	공장 남자 직원
공업	👩‍🏭	공장 여자 직원
공연	🎫	티켓
공연	🎭	가면
공원	🏞	국립공원
공을갖고있는남자	⛹‍♂	공 가진 남자
공을갖고있는사람	⛹	공을 갖고 있는 사람
공을갖고있는여자	⛹‍♀	공 가진 여자
공작	🦚	공작
공장	🧑‍🏭	공장 직원
공장	👨‍🏭	공장 남자 직원
공장	👩‍🏭	공장 여자 직원
공장	🏭	공장
공장남자직원	👨‍🏭	공장 남자 직원
공장여자직원	👩‍🏭	공장 여자 직원
공장직원	🧑‍🏭	공장 직원
공주	👸	공주
공주님	👸	공주
공중	🚡	케이블카
공중부양	🕴	공중에 떠 있는 정장 입은 남자
공중에떠있는정장입은남자	🕴	공중에 떠 있는 정장 입은 남자
공중화장실	🚻	화장실
공중화장실	🚾	더블유씨
공집합	∅	공집합
공책	📔	표지가 있는 노트
공책	📓	공책
공책	📒	노트
공튀기는남자	⛹‍♂	공 가진 남자
공튀기는사람	⛹	공을 갖고 있는 사람
공튀기는여자	⛹‍♀	공 가진 여자
공평한	⚖	접시저울
공포	😨	두려워하는 얼굴
공포	😱	공포에 절규하는 얼굴
공포	🧛	뱀파이어
공포	🧛‍♂	남자 뱀파이어
공포	🧛‍♀	여자 뱀파이어
공포	🧟	좀비
공포	🧟‍♂	남자 좀비
공포	🧟‍♀	여자 좀비
공포에가득찬얼굴	😨	두려워하는 얼굴
공포에절규하는얼굴	😱	공포에 절규하는 얼굴
공황	🫪	왜곡된 얼굴
과나코	🦙	라마
과녁	🎯	과녁 명중
과녁명중	🎯	과녁 명중
과들루프	🇬🇵	깃발: 과들루프
과일	🍇	포도
과일	🍈	멜론
과일	🍉	수박
과일	🍊	귤
과일	🍋	레몬
과일	🍋‍🟩	라임
과일	🍌	바나나
과일	🍍	파인애플
과일	🥭	망고
과일	🍎	빨간 사과
과일	🍏	초록 사과
과일	🍐	배
과일	🍑	복숭아
과일	🍒	체리
과일	🍓	딸기
과일	🫐	블루베리
과일	🥝	키위
과일	🍅	토마토
과일	🥑	아보카도
과일	🥧	파이
과테말라	🇬🇹	깃발: 과테말라
과피모	👲	중국 전통 모자를 쓰고 있는 남자
과학	🦠	미생물
과학	🔍	왼쪽으로 향한 돋보기
과학	🔎	오른쪽으로 향한 돋보기
과학	🧪	시험관
과학	🔬	현미경
과학	🔭	망원경
